blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,27.948244750999947,None,s,8.130304759000865,27.948244750999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,10,7.5,4.6,3 x 6,18,7,6 x 3 = 18,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,36.10513201700087,None,41.12608910000017,None,51.12846321300094,None,51.60831487,None,53.604872724001325,None,54.35535162300039,None,54.60674557400125,None,54.60674557400125,None,a,0,0.5151287810003851,54.60674557400125,None,55.155281715000456,None,55.155281715000456,None,d,0.12660955700084742,55.155281715000456,None,55.304649016999974,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,22.1,7.5,7,9 x 9,72,16,9 x 9 = 72,large-sized_low-interference,large-sized,low-interference,6,IncorrectRESP,d,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,59.904946194999866,None,60.40585839800042,None,62.40517010199983,None,63.15515078400131,None,63.40714461,None,63.40714461,None,d,0,0.8588478559995565,63.40714461,None,64.28807795400098,None,64.28807795400098,None,d,0.14586875900022278,64.28807795400098,None,64.45458059200064,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,36.6,7.5,4.4,2 x 6,12,6,6 x 2 = 12,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,71.45479155100111,None,71.95505114099979,None,73.95514346300115,None,74.70515277900085,None,74.95534366,None,74.95534366,None,a,0,0.4865463730002375,74.95534366,None,75.46983624700079,None,75.46983624700079,None,d,0.14803595899866195,75.46983624700079,None,75.63820366100117,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,48.5,7.5,9.6,8 x 3,24,12,3 x 8 = 24,small-sized_high-interference,small-sized,high-interference,13,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,80.05572995,None,80.55418920300144,None,82.55567100799999,None,83.30563525599973,None,83.55553815300118,None,83.55553815300118,None,a,0,0.486344832,83.55553815300118,None,84.07210818500062,None,84.07210818500062,None,d,0.3539683609997155,84.07210818500062,None,84.45559171600144,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,65.6,7.5,5.4,5 x 5,30,3,5 x 5 = 30,small-sized_low-interference,small-sized,low-interference,3,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,94.05533019200084,None,94.55638041800012,None,96.57160768700123,None,97.32178765900062,None,97.57210628,None,97.57210628,None,d,0,0.5738959310001519,97.57210628,None,98.17117978600072,None,98.17117978600072,None,d,0.11074510999969789,98.17117978600072,None,98.30471480100096,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,78.5,7.5,7.7,3 x 9,27,19,9 x 3 = 27,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,103.70514561399978,None,104.20484917800059,None,106.20490029800021,None,106.95517153600122,None,107.20487169800072,None,107.20487169800072,None,a,0,0.5810901990007551,107.20487169800072,None,107.80454953700064,None,107.80454953700064,None,d,0.1893215969994344,107.80454953700064,None,108.02109576200019,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,93.7,7.5,3.5,2 x 8,18,5,8 x 2 = 18,small-sized_low-interference,small-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,115.72228741700019,None,116.22235594700032,None,118.2221133210005,None,118.9722848750007,None,119.2206991160001,None,119.2206991160001,None,d,0,0.6931287150000571,119.2206991160001,None,119.9385715820008,None,119.9385715820008,None,d,0.10331051700086391,119.9385715820008,None,120.07223704200078,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,104.7,7.5,6.4,7 x 7,49,18,7 x 7 = 49,large-sized_low-interference,large-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,123.57182641700092,None,124.07182351200026,None,126.07198680000147,None,126.82203681800092,None,127.07140607400106,None,127.07140607400106,None,a,0,0.9864862119993631,127.07140607400106,None,128.08839503800118,None,128.08839503800118,None,d,0.20149453799967887,128.08839503800118,None,128.32174085600127,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
block5.xlsx,118.6,7.5,3.2,8 x 5,45,21,5 x 8 = 45,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,134.72178992299996,None,135.2215550760011,None,137.22187034499984,None,137.9713506930002,None,138.2216286210005,None,138.2216286210005,None,d,0,0.612281506,138.2216286210005,None,138.85340717700092,None,138.85340717700092,None,d,0.04444538,138.85340717700092,None,138.9217900550011,None,,,,,sub-03,05/02/2001,1: Male,15/07/2023,004,1: right,2023_Jul_15_1138,[FINAL]_fmri_multiplication,2021.2.3,59.96818088287982
