blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,45.628788214999986,None,s,15.395942737000041,45.628788214999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,10,7.5,4.6,3 x 6,18,7,6 x 3 = 18,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,61.05847245299992,None,66.07816066500027,None,76.09992184300017,None,76.57760776800023,None,78.57461872400017,None,79.32460713899991,None,79.57665157200017,None,79.57665157200017,None,d,0,1.053411510999922,79.57665157200017,None,80.65873267699999,None,80.65873267699999,None,d,0.29123391700022694,80.65873267699999,None,80.97437192400002,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,22.1,7.5,7,9 x 9,72,16,9 x 9 = 72,large-sized_low-interference,large-sized,low-interference,6,IncorrectRESP,d,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,85.57473321299994,None,86.07539109300023,None,88.07478108900023,None,88.82484208899996,None,89.07728254599988,None,89.07728254599988,None,a,0,0.74477367,89.07728254599988,None,89.83940332100019,None,89.83940332100019,None,d,0.29442861899997297,89.83940332100019,None,90.15719035200027,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,36.6,7.5,4.4,2 x 6,12,6,6 x 2 = 12,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,97.15709198200011,None,97.65714224200019,None,99.65584763,None,100.40770903200018,None,100.65772037200031,None,100.65772037200031,None,d,0,0.6122627519998787,100.65772037200031,None,101.29050257500012,None,101.29050257500012,None,d,0.2034347069998148,101.29050257500012,None,101.52398427400021,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,48.5,7.5,9.6,8 x 3,24,12,3 x 8 = 24,small-sized_high-interference,small-sized,high-interference,13,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,105.92390158700027,None,106.42366147100029,None,108.42460262700024,None,109.17435787400018,None,109.4243629130001,None,109.4243629130001,None,d,0,0.6536785379998946,109.4243629130001,None,110.10754122700018,None,110.10754122700018,None,d,0.18641408299981777,110.10754122700018,None,110.3243892710002,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,65.6,7.5,5.4,5 x 5,30,3,5 x 5 = 30,small-sized_low-interference,small-sized,low-interference,3,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,119.92495643600023,None,120.42658717900031,None,122.44130776500015,None,123.19104248700023,None,123.4427735,None,123.4427735,None,a,0,0.8671810389996608,123.4427735,None,124.34070657100028,None,124.34070657100028,None,d,0.26535477800007357,124.34070657100028,None,124.6239821170002,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,78.5,7.5,7.7,3 x 9,27,19,9 x 3 = 27,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,130.0247758989999,None,130.52393989200027,None,132.52448215899994,None,133.27432931900012,None,133.52452177400028,None,133.52452177400028,None,d,0,0.8174557719999029,133.52452177400028,None,134.37277949000008,None,134.37277949000008,None,d,0.18515619000027073,134.37277949000008,None,134.59093030400027,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,93.7,7.5,3.5,2 x 8,18,5,8 x 2 = 18,small-sized_low-interference,small-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,142.29090236399998,None,142.79146054600005,None,144.7907811670002,None,145.54077517199994,None,145.7907559270002,None,145.7907559270002,None,d,1,1.4712699560000146,145.7907559270002,None,147.28944458500018,None,147.28944458500018,None,d,0.30061833299987484,147.28944458500018,None,147.60766294800032,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,104.7,7.5,6.4,7 x 7,49,18,7 x 7 = 49,large-sized_low-interference,large-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,151.1050843789999,None,151.6074296,None,153.60811074699996,None,154.35801070200023,None,154.60849060200007,None,154.60849060200007,None,d,0,0.7414555299997119,154.60849060200007,None,155.3744602300003,None,155.3744602300003,None,d,0.20747281200010548,155.3744602300003,None,155.60746090700013,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,118.6,7.5,3.2,8 x 5,45,21,5 x 8 = 45,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,162.00766764400032,None,162.5074679080003,None,164.50787110800002,None,165.25611795600025,None,165.50814940100008,None,165.50814940100008,None,a,0,1.6098895099999027,165.50814940100008,None,167.14053593100016,None,167.14053593100016,None,d,0.3215321769998809,167.14053593100016,None,167.49101650900002,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,129.3,7.5,6.8,5 x 4,20,8,4 x 5 = 20,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,170.69105852300027,None,171.19073463299992,None,173.19101210899998,None,173.9411502830003,None,174.19089305100033,None,174.19089305100033,None,d,0,0.7271334960000786,174.19089305100033,None,174.94050611500006,None,174.94050611500006,None,d,0.19346933999986504,174.94050611500006,None,175.15720984300015,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,143.6,7.5,5.5,6 x 5,30,14,5 x 6 = 30,large-sized_low-interference,large-sized,low-interference,6,CorrectRESP,a,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,181.95768436200024,None,182.45782425900006,None,184.45743169700017,None,185.20775140500018,None,185.45886331700012,None,185.45886331700012,None,d,0,0.9391974969998955,185.45886331700012,None,186.41869669000016,None,186.41869669000016,None,d,0.2592881010000383,186.41869669000016,None,186.69598752899992,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,156.6,7.5,6,3 x 7,24,11,7 x 3 = 24,small-sized_high-interference,small-sized,high-interference,13,IncorrectRESP,d,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,192.2078282030002,None,192.70777278900005,None,194.7079146430001,None,195.4578144090001,None,195.70730316000027,None,195.70730316000027,None,a,0,1.122751757,195.70730316000027,None,196.85763977100032,None,196.85763977100032,None,d,0.356353149,196.85763977100032,None,197.24084740700027,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,170.1,7.5,7.1,5 x 7,40,17,7 x 5 = 40,large-sized_low-interference,large-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,203.2409401760001,None,203.73976947200026,None,205.74038773200027,None,206.49110578499995,None,206.7414583120003,None,206.7414583120003,None,a,0,0.6805763850002222,206.7414583120003,None,207.44045446500013,None,207.44045446500013,None,d,0.24553591800031427,207.44045446500013,None,207.70721918800018,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
block5.xlsx,184.7,7.5,5.3,4 x 6,28,10,6 x 4 = 28,small-sized_high-interference,small-sized,high-interference,12,IncorrectRESP,d,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,214.8073699239999,None,215.30784734500003,None,217.30771190099995,None,218.0578839990003,None,218.30743827100014,None,218.30743827100014,None,a,0,0.9066369649999615,218.30743827100014,None,219.24074446600025,None,219.24074446600025,None,d,0.2532171660000131,219.24074446600025,None,219.52340097900014,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,002,1: right,2023_Sep_21_1830,[FINAL]_fmri_multiplication,2021.2.3,59.990093955823724
